16,6,3,5,8,0,-3,0,
-22,-9,-5,-20,-56,-8,-4,-11,
-29,-1,2,-4,-6,-9,-2,-14,
5,-2,-1,-8,-17,-23,-1,2,
10,8,4,8,5,8,3,-1,
7,-1,0,-12,-18,-6,-6,-5,
-17,-4,-4,12,26,16,-4,-8,
-16,-1,10,64,57,14,2,-5,
-4,-5,-5,-16,-15,1,-5,-1,
-7,5,7,13,23,23,-1,0,
14,2,-2,0,-8,-4,4,2,
8,6,-1,7,25,-26,0,-1,
-50,-6,6,-5,-50,1,-7,-4,
1,5,4,19,34,8,0,-1,
28,0,-1,-3,10,-22,3,6,
-3,4,5,-4,-6,3,-1,0,
-22,-7,-4,0,-1,6,-2,-4,
-9,-3,-4,-9,-1,5,-5,-3,
15,-2,-1,-10,-48,-21,-8,-7,
-8,2,-3,10,28,12,2,1,
10,-1,-8,-13,-29,-30,-3,-5,
10,7,-1,7,34,-11,-6,5,
-2,-5,1,-27,-30,-8,-3,-1,
-23,-2,-2,11,25,15,3,-1,
3,1,0,0,16,14,2,-5,
0,-2,-1,2,10,11,-4,-4,
1,9,1,-5,5,-12,-2,2,
-9,-7,-6,5,19,7,3,-2,
3,-2,0,10,24,13,-6,1,
3,-7,-2,-16,-56,-1,-6,-5,
9,-4,-8,-12,-34,-17,-9,-2,
13,0,2,12,16,16,-3,1,
-3,0,-2,10,27,4,4,3,
10,3,-2,11,12,-7,-4,-1,
-7,3,5,11,4,-2,4,1,
12,-4,6,8,2,20,4,0,
2,-3,-4,-5,-20,-10,5,-1,
-6,1,-8,-7,0,-9,4,2,
2,2,6,7,10,9,4,2,
-2,1,5,-22,-20,-9,0,-2,
-1,-3,1,-1,-7,0,-6,-2,
-7,-2,-5,5,7,6,1,-2,
-21,-8,-5,-9,-15,4,-5,-3,
8,-7,-7,-33,-57,5,-7,-5,
-16,-4,-4,0,-7,1,-3,-6,
-30,-7,0,12,-1,1,-7,-2,
19,0,-1,-10,-10,2,1,0,
-5,-2,0,-3,3,2,0,1,
-24,-5,-3,-14,-45,-7,-1,-2,
12,5,-1,-42,-33,-11,3,9,
-8,-3,3,3,-2,10,-4,-4,
