1,-2,0,1,0,2,-1,0,
-1,-1,-1,-5,-9,11,-1,0,
-3,-3,1,10,0,2,-5,-4,
-2,-3,-4,-4,-9,-8,-1,-2,
-1,0,2,0,6,-3,-1,-1,
-1,0,1,12,6,-2,-1,0,
0,2,0,-2,1,4,-2,0,
-1,-5,-3,-3,4,-2,-1,-1,
5,4,5,0,-3,-11,-1,2,
0,3,-2,3,3,-7,0,1,
0,1,1,4,15,8,0,0,
0,-3,-4,-4,-3,1,-1,-2,
-2,-4,-4,2,10,-9,-1,-2,
1,2,1,11,21,4,0,3,
1,1,2,0,-8,11,-2,0,
0,-1,-1,-13,-16,-8,-2,-2,
-1,-1,-3,-2,3,7,-1,1,
-3,-3,-4,-5,-9,0,0,-2,
-1,-2,2,2,-14,2,-1,-2,
1,-1,3,11,15,-3,1,-1,
-1,2,1,3,6,-5,0,0,
0,1,2,-2,-16,-10,-1,-2,
0,2,3,4,5,0,-1,0,
0,0,-3,-11,-11,-5,0,-3,
0,1,0,-1,-1,-1,2,2,
-1,1,-2,12,13,-3,1,-5,
0,-3,1,5,10,1,-3,-2,
-1,-1,-2,-6,-20,-14,-4,-2,
-2,-5,-6,-17,-18,-9,-3,-2,
-2,-3,-2,-3,2,6,-1,0,
-1,0,1,-3,2,-8,2,-2,
0,-3,-6,-14,-10,-10,-3,-2,
-1,-3,-2,0,-11,-6,-1,1,
-1,0,1,3,7,3,-1,1,
0,1,0,2,-3,-6,-1,0,
-1,-1,-5,0,4,-7,3,-1,
-2,-4,-3,-19,-27,5,-1,-2,
-1,0,1,0,5,5,-3,-2,
-1,-4,0,-1,5,3,-1,1,
-1,-1,1,-1,7,3,2,-2,
3,1,1,15,15,5,0,-1,
1,-1,-5,3,16,-11,0,-1,
-1,-3,0,-1,1,-2,-3,-2,
-3,-1,1,2,-7,3,-2,-4,
-5,-5,-5,-8,-14,2,-3,-3,
-1,0,1,0,-12,4,0,-2,
0,-2,-3,-8,-18,-9,-4,-2,
-1,-1,-2,8,17,-4,3,-2,
-3,-4,-4,0,16,1,0,0,
0,-1,0,3,0,1,3,5,
0,2,2,-4,1,-5,0,-1,
-3,-4,-3,-4,-4,2,0,-1,
0,1,-5,-5,-20,-4,0,-2,
-3,-3,-5,2,0,-1,-3,-7,
0,1,3,6,8,-4,0,1,
0,0,-3,-1,10,-7,3,1,
-2,0,0,8,28,6,3,-1,
