11,-10,-10,-27,-44,-8,-6,-1,
2,-17,-3,13,-19,10,1,1,
-1,2,-11,-12,-29,8,-1,0,
6,0,11,5,1,12,0,-1,
-12,-3,-7,0,-4,-8,0,1,
-32,1,-13,16,9,19,3,-4,
-12,0,0,-16,-22,7,-2,-2,
29,4,9,-15,3,-14,0,3,
2,5,-2,4,-12,46,1,-2,
-1,-4,-8,-8,22,-12,-2,-5,
-18,-1,3,-2,2,5,-2,-1,
-26,11,3,-8,-4,-2,-1,-1,
-6,-4,-15,10,16,14,1,8,
-4,-1,-9,-2,10,31,5,1,
17,0,1,23,-4,12,7,2,
-13,6,12,0,23,18,1,-2,
28,-4,14,-2,2,16,0,-6,
-5,10,6,-19,-2,-19,2,-1,
-26,0,6,-10,-39,-5,-3,-4,
-29,-5,-17,-15,5,-25,-1,-9,
13,3,11,15,-9,23,2,3,
-14,-1,12,10,0,-3,3,-9,
30,1,35,21,14,6,-14,5,
-65,-2,-6,-27,-4,-9,0,0,
-8,-4,-35,-9,30,4,1,-1,
10,-1,-9,-5,13,-18,0,-4,
-6,5,-4,-29,-35,2,1,4,
23,4,37,10,7,4,-2,4,
-19,-2,-8,15,16,-11,-4,-5,
50,-1,-8,-6,28,-16,-3,-1,
-12,3,-5,-2,-13,0,-1,-7,
7,-3,2,8,4,6,0,2,
-19,5,-7,4,-10,-41,-2,-7,
2,3,6,-9,16,-15,1,1,
-31,-3,-6,33,-6,-22,-2,-2,
-14,-1,2,-9,13,-10,-5,-4,
-21,-10,-10,-28,26,-8,-5,-3,
6,-1,-5,-2,14,-5,2,3,
-4,-1,-2,-13,-6,18,-2,-2,
24,-6,-5,-6,3,9,-2,-2,
6,4,-7,-15,12,-25,0,-3,
21,5,-18,9,9,42,5,1,
-28,-2,14,-13,-12,-21,-2,-6,
56,-9,-12,-22,-3,6,-4,3,
-22,-7,-7,-4,-45,-27,-6,-4,
-4,-5,-4,13,-15,10,1,-1,
17,-1,-3,-8,16,0,2,1,
-35,1,-9,3,3,4,2,-1,
-18,-9,0,27,8,-9,-5,-1,
33,-6,5,-6,-1,24,-2,3,
20,3,5,-18,6,-6,0,0,
-22,6,2,5,2,6,-1,0,
37,0,-4,3,5,4,4,4,
-4,-5,-17,-10,-2,-8,0,-4,
3,2,-2,10,3,-13,-3,5,
16,-1,7,-4,10,-19,-5,-8,
-19,2,-5,3,5,-28,1,-6,
-9,5,6,15,20,-11,-4,-7,
-32,-4,4,27,2,-13,-4,-3,
6,6,12,-2,8,7,1,-5,
77,-2,8,1,19,6,4,1,
-8,0,-9,-5,7,4,2,-1,
25,-6,2,4,39,42,5,-1,
-16,0,-11,-25,15,-21,-2,-4,
-27,3,5,0,-8,3,-5,0,
-1,1,9,13,21,30,5,-5,
-32,-8,-2,-9,-44,-39,-5,-6,
-24,0,-1,-38,4,13,2,0,
77,0,-1,-13,-1,0,1,-2,
-26,-4,-2,-9,6,13,2,-8,
-26,4,-1,20,2,-21,-3,2,
-12,-3,-8,1,-47,-4,0,2,
-4,-2,-9,2,6,-24,-5,-1,
-8,2,3,-11,-33,3,2,3,
1,-8,-8,4,9,-23,-6,2,
-18,-11,1,9,-8,17,-7,-9,
-14,-3,-9,-4,-24,9,3,-1,
31,-4,11,19,11,2,5,-3,
19,1,2,33,28,10,7,6,
-8,-13,-11,-6,-17,-9,-15,-3,
-6,5,-10,-5,-30,7,2,-2,
-16,-30,-10,-15,-7,-66,-3,4,
59,13,-3,15,-25,11,4,20,
-18,-8,1,8,15,13,-3,-9,
-46,-10,-5,1,8,0,3,-7,
18,3,8,2,-2,-57,-6,-3,
