-5,-4,1,8,5,-36,0,-2,
5,8,9,16,27,37,-3,3,
-3,-5,-3,-23,-12,-1,-2,-2,
-1,-1,-1,2,6,12,-1,-1,
1,-1,0,9,-2,-4,1,-1,
3,4,11,11,12,3,5,5,
-1,0,-5,10,28,5,2,-2,
-3,-5,-7,-2,19,-16,-5,-3,
0,0,-4,22,-10,-38,-4,1,
2,0,-2,0,2,11,1,-1,
0,-3,-8,-10,-3,-53,1,0,
-2,1,0,-4,-24,3,2,-3,
1,1,-2,6,-3,40,3,1,
-2,-3,-5,-19,4,0,0,-2,
2,3,7,16,9,-21,-2,1,
1,0,1,14,-18,-21,0,-1,
-1,-4,-2,-26,-4,2,-2,-2,
-2,-2,2,30,10,-14,-5,-3,
1,2,6,3,11,39,2,2,
-1,-4,1,5,9,-11,-3,-1,
3,0,-3,34,2,0,4,-1,
1,0,-1,-15,-38,12,-1,0,
-3,-4,-8,0,5,18,-3,-2,
-4,-3,-5,-3,-4,-2,-3,-4,
-7,-2,-4,-3,0,12,-2,-3,
-5,-9,-6,7,-17,60,-1,-2,
1,-2,-1,-39,5,46,-2,2,
-2,-4,-1,20,5,-10,0,-2,
-6,-2,-5,-6,-3,4,-3,-1,
0,1,9,18,11,7,1,-1,
0,-2,1,-21,-9,8,-1,-2,
-1,-2,-1,16,1,-17,-4,-2,
1,0,-2,5,2,39,-1,0,
0,0,-2,-21,-14,1,-1,-1,
3,1,5,32,9,5,0,0,
-1,-4,-3,5,-13,-5,-1,-1,
-3,-1,-1,-1,10,2,0,-1,
-1,-2,0,-6,3,6,0,-1,
-2,-1,4,-15,41,-5,1,-2,
-2,-3,-3,-10,-12,-50,-2,-1,
-2,-3,7,6,-9,-10,-3,-3,
0,0,-3,-13,9,-18,-1,1,
-4,-7,-11,-23,-22,1,-1,-1,
2,0,3,15,-11,-14,3,1,
-1,-4,-2,12,9,6,-1,-1,
-4,-5,6,-11,7,8,1,-3,
3,0,5,1,17,7,-2,1,
1,-4,-3,-14,-10,-54,-2,-1,
2,2,-3,5,16,-29,-1,0,
-7,-5,-4,-10,-23,-24,0,-1,
1,2,2,25,13,37,2,1,
-1,-4,-5,-13,-4,-28,0,-1,
-1,4,6,30,-3,-9,-5,0,
0,-4,-1,18,0,-15,0,-2,
-3,-2,-3,-6,9,-31,0,-2,
-4,0,0,15,2,11,-1,-3,
1,-2,-2,19,-5,35,3,-1,
0,-1,0,5,-16,-12,-4,-2,
0,-1,2,34,22,3,-1,1,
2,1,6,10,10,3,-1,3,
0,-1,-2,12,-17,4,-2,0,
5,0,2,-10,10,-12,1,0,
-1,3,3,19,-13,4,-1,-1,
-3,-5,0,10,20,8,1,-1,
3,0,-2,59,7,51,3,1,
5,6,1,-14,3,1,5,2,
-4,-2,0,-22,3,22,-2,-2,
-5,-4,3,8,9,2,-1,-3,
0,-3,-8,19,-12,-15,-3,-1,
-2,0,2,14,6,-26,1,1,
-2,-2,0,7,-15,7,0,0,
5,3,4,-6,1,-22,1,1,
3,-1,1,1,12,20,0,1,
-1,-4,-3,1,-2,-9,2,0,
-5,-1,-2,-23,-10,1,-4,-2,
-3,0,3,-29,-4,10,-1,1,
4,3,0,7,0,-5,-4,1,
-1,0,-1,1,-4,5,2,0,
-5,1,-1,2,-7,-39,-8,-2,
4,2,4,19,10,42,3,1,
-1,3,-2,-13,-5,4,-1,-1,
-6,-7,-11,-11,-6,7,0,-2,
1,2,0,9,1,15,0,-1,
-2,-4,-5,19,-2,-15,-2,-1,
2,0,2,-17,-2,-13,-2,-1,
2,-1,-1,2,2,44,1,0,
-3,3,2,-13,-3,-18,-2,-2,
1,2,0,3,1,2,-1,0,
3,-3,-2,13,4,-4,2,0,
-2,-3,-1,0,2,-2,0,-1,
-1,-3,-5,-3,-5,4,-1,-3,
-2,1,-3,-24,-10,1,-3,-1,
