-21,-12,-22,-12,-1,-4,-21,1,
-20,2,0,-30,0,7,3,5,
30,-4,4,-11,10,1,-4,10,
-23,-4,0,55,3,1,8,-17,
4,5,3,-7,10,0,1,0,
-12,-7,-12,-20,1,-3,-2,-2,
7,-4,-6,-4,-8,0,1,2,
-28,0,-7,-5,1,-2,-3,-3,
-20,-2,1,10,3,4,10,-7,
11,-2,-1,-7,-9,-6,-1,1,
18,3,1,35,2,-4,-2,14,
5,-3,1,36,11,3,-2,3,
-14,1,7,9,7,3,-2,-3,
4,-2,-2,29,9,2,0,3,
53,-1,10,1,-1,-2,-32,12,
-3,-3,-2,-37,-6,-5,6,-1,
2,-5,0,-5,-14,-3,-2,-1,
-16,-8,-9,-10,-7,-2,2,-4,
8,2,-6,12,-1,-4,5,0,
-18,1,2,-27,3,1,11,15,
-30,-4,-6,40,4,-7,-27,-17,
8,-2,3,-61,-7,0,5,0,
-14,3,5,11,3,2,-2,7,
6,8,3,9,-3,5,8,2,
13,-7,-10,-36,-4,-6,13,0,
7,-4,-11,0,1,2,9,12,
16,-3,6,83,20,0,6,-8,
8,4,-2,15,-8,1,-3,1,
-6,-3,4,13,5,2,-5,-4,
15,-6,2,-31,-8,-6,-33,-14,
-18,-1,-5,-23,14,1,5,-3,
1,4,1,36,1,3,21,5,
-7,-2,-3,-8,-6,-3,-11,-2,
3,3,1,-27,-13,0,11,6,
-33,1,13,41,10,5,6,-2,
25,0,10,4,-11,-2,10,8,
-13,-2,-14,14,8,6,1,9,
-52,-2,-14,-27,5,0,-13,-3,
13,2,-4,-17,-3,-2,11,8,
14,-1,1,23,1,0,-6,-3,
-6,3,-3,41,-2,0,3,9,
-8,-4,-15,-68,-8,-6,20,-2,
11,5,13,-7,-5,1,-8,-3,
-21,-2,4,30,-7,-2,1,2,
-14,-6,6,4,2,0,-3,-10,
-21,2,-7,-72,2,-3,-6,9,
35,-2,-5,64,4,1,17,22,
-37,2,-1,-7,6,-1,-4,-1,
-12,-7,-18,-25,11,-2,-6,-1,
-15,-4,3,10,-8,-3,-8,-11,
3,0,4,33,9,1,-11,0,
-17,3,12,-14,-13,4,17,-7,
14,-2,7,-7,-8,-1,-3,-8,
1,-1,-1,27,3,0,13,5,
5,-2,-1,35,-2,-1,-8,-3,
-4,-2,-7,-7,-5,4,-8,1,
9,2,-1,-27,-2,-1,1,3,
-6,-6,-8,-5,1,1,7,15,
-1,2,18,-48,-3,-2,-3,-12,
-20,2,-9,32,16,-1,12,6,
1,-4,-6,-40,-7,-2,-5,2,
7,8,5,37,-5,-2,8,0,
40,9,17,65,-9,2,5,8,
1,-5,-14,-32,-1,-3,-1,1,
1,4,5,18,-3,1,-1,3,
-12,-2,1,-47,-7,-4,-6,-3,
-38,-3,6,8,-4,0,0,-6,
-8,-3,1,-26,-22,1,5,1,
13,0,2,-5,5,2,0,3,
-5,-1,-3,5,-15,-3,-2,-5,
-18,-1,4,-20,-11,-5,-3,-2,
-9,-3,0,-2,1,-2,16,7,
-3,3,6,-7,4,2,7,2,
2,-6,2,31,2,-1,-6,13,
4,-1,4,3,-1,-2,0,0,
-8,-3,-2,-12,-1,2,9,0,
-26,1,12,-33,-17,-4,-13,-2,
5,-4,2,2,-2,-3,-20,-7,
