-3,3,10,14,2,-6,-2,5,
-6,-8,-8,19,-2,-7,-1,-3,
-10,-2,5,-5,-2,-2,0,-11,
-5,6,-5,-26,-38,-6,7,7,
20,4,-2,8,-3,-7,7,-4,
3,-8,-1,19,16,2,8,1,
-6,-4,-10,-26,1,-8,-13,-13,
12,3,-4,-10,3,4,5,0,
8,-2,2,23,0,1,1,7,
28,2,-5,3,-2,4,7,-3,
-11,-8,0,-21,-42,-5,10,-2,
36,-2,-4,-35,-4,-1,-2,-5,
35,-3,-6,25,36,13,-10,0,
-21,-3,-1,-5,-56,-14,17,-4,
-22,-2,2,10,20,3,6,0,
-3,0,-1,-4,14,2,-23,-5,
-2,-3,1,-8,-1,3,3,3,
-9,5,0,-7,-22,5,10,0,
6,-4,-2,-18,14,-1,7,-6,
14,4,-3,-2,-13,-1,-9,-5,
17,-2,-7,13,-4,-6,-3,3,
-16,1,8,22,-30,-1,-2,-3,
-9,4,0,32,39,0,-11,-5,
60,8,-4,9,3,1,2,9,
-8,1,0,20,11,-5,-12,-6,
-39,-4,6,11,23,2,-1,-5,
17,-5,-1,7,25,-4,2,0,
4,-2,-1,-4,-4,1,-5,-3,
-8,-2,-3,-5,-19,-2,-2,-1,
-17,-3,-1,-15,-5,-7,-9,-4,
-6,6,1,-26,-70,-1,1,-6,
53,2,-4,4,-11,-1,2,16,
-15,-4,-4,4,12,3,14,3,
-16,0,0,-5,-10,1,3,0,
-2,-2,2,7,27,3,-1,0,
2,-3,-4,-1,0,-3,-10,-7,
-18,-2,-2,30,1,-1,-5,-6,
26,0,1,5,3,-2,-2,4,
-4,1,1,-11,-16,-2,0,0,
-3,-2,-3,-12,-6,3,-14,-9,
-38,-1,-3,-3,15,-5,-15,-5,
-36,-1,1,-7,-8,5,-5,-6,
-17,-3,1,-5,24,-6,-7,-5,
39,-3,-1,-67,-39,-16,2,-13,
-17,-4,-4,12,12,-10,-3,10,
3,-1,0,-9,3,10,7,7,
10,0,-2,8,14,4,-10,-5,
26,3,-1,18,16,7,0,-5,
-12,-4,0,4,15,-3,-7,-7,
0,5,-1,38,-17,-6,-18,-6,
-26,3,2,10,40,8,3,2,
-6,-4,0,-7,-22,-3,-3,-5,
14,-1,4,-8,9,4,11,2,
10,-4,-2,22,27,-3,-3,-3,
-3,2,-1,10,-4,4,-13,-4,
-7,4,-4,-15,-23,-4,-2,3,
-1,-5,-3,13,14,0,5,3,
-18,1,3,20,-4,-6,7,-2,
-91,-7,2,-49,-24,-1,3,-17,
22,2,-1,14,11,4,11,5,
-28,6,-3,-9,-21,18,20,8,
-23,-5,-3,1,16,2,-6,-3,
-11,-3,0,16,33,3,20,3,
59,-3,-5,-7,-4,3,4,13,
-3,3,1,-3,0,-3,4,3,
-36,0,0,10,14,-2,-5,7,
-16,-2,2,9,21,-2,7,-4,
60,2,-5,35,9,5,23,12,
-4,0,0,8,15,9,7,-5,
-3,1,2,-4,-14,-9,-16,0,
8,-1,-4,-8,-1,-2,3,1,
-6,-2,-5,-4,4,4,-4,-1,
-25,-6,0,5,16,-9,4,-4,
-14,0,-8,-9,-4,-2,-5,2,
-2,4,3,13,16,-9,-2,9,
33,0,-4,-8,-26,-2,6,-4,
-23,-5,2,-1,-32,-10,-14,-5,
-38,-4,-1,-18,-20,9,-5,-7,
20,1,3,-2,10,-15,7,5,
-1,3,-8,22,-8,17,-8,2,
-17,0,10,-19,-28,3,-16,-14,
15,0,-2,17,-4,2,4,4,
-21,7,0,-5,14,1,4,0,
-2,-2,-2,-32,-36,0,1,3,
8,-2,5,2,17,2,3,0,
