3,-3,-3,-2,-8,-9,-9,0,
1,-2,2,1,0,-4,-3,1,
6,13,3,19,16,45,5,6,
-3,0,-2,-2,28,-4,-1,-1,
-11,4,-6,-19,-28,-4,11,1,
20,-3,5,9,11,-24,-5,-2,
5,2,4,-2,16,4,2,-3,
19,-1,2,21,6,9,0,-4,
0,-1,-3,0,8,2,1,4,
-3,-8,3,10,12,2,-7,-2,
1,1,1,14,22,-30,12,0,
2,-1,-2,17,18,-16,-7,-3,
-16,0,3,-8,2,4,-5,-2,
-6,-6,-2,4,3,1,2,-8,
-6,-4,-1,4,-7,28,-1,-1,
-45,-2,-1,7,24,-5,0,-1,
13,-1,-3,4,-7,-7,-8,-6,
-20,-4,-1,-8,14,0,-4,-4,
20,4,-5,-17,25,3,3,0,
-11,3,3,2,-61,12,4,4,
18,4,0,0,-5,25,5,3,
-16,-3,1,1,-3,3,-4,-4,
-38,-2,-4,-10,-13,0,-5,4,
11,3,3,11,15,26,-2,4,
-4,7,-3,16,6,-6,6,0,
-11,0,-5,-14,-24,0,5,2,
-18,-7,3,8,-21,14,-1,-2,
24,0,1,6,0,-3,-4,-1,
10,-1,-3,-14,1,24,-4,-2,
-29,-1,-2,-1,-43,6,-9,-2,
1,0,12,-5,-29,-21,-4,-3,
-1,1,-3,-11,-6,23,3,-6,
-11,0,0,4,-3,5,4,3,
-5,-6,-5,-20,28,25,2,-6,
-26,-1,-9,-14,-74,-8,-11,0,
1,3,4,13,13,-4,0,0,
-28,-3,1,17,10,6,-9,-2,
17,3,-2,1,-9,-8,1,3,
6,1,-2,2,-2,8,-3,-4,
3,-6,2,2,12,-25,-1,3,
12,1,1,-10,-25,26,-8,3,
-4,-1,-1,12,21,17,7,-2,
0,1,-1,7,12,18,-5,5,
6,1,5,23,7,1,0,-6,
-7,2,3,4,-21,13,-1,0,
4,2,4,-13,-22,19,-8,-4,
10,-2,2,-5,-1,-36,-3,-2,
9,-6,5,-13,-34,30,4,0,
-9,2,-3,-6,-28,14,3,-2,
-1,10,-1,6,37,4,-21,-2,
-15,-3,-1,-6,-4,-30,5,-4,
0,0,-1,7,-14,-5,1,-2,
18,1,1,2,26,-4,7,0,
19,5,-3,-32,21,18,6,-1,
-4,-3,4,22,-11,38,0,-2,
-7,0,1,4,11,-16,-10,3,
-24,-4,0,-6,4,-1,-17,-6,
-21,-2,2,2,-4,-12,8,0,
7,2,-2,9,-13,-16,-7,7,
-40,-3,-6,-4,-5,-2,0,-1,
5,0,3,-4,-5,16,4,4,
3,-7,-8,13,26,17,-4,-6,
-8,-4,3,-4,12,1,11,1,
6,-3,-5,10,-6,-21,-14,-1,
-13,-7,-8,17,-6,16,3,-4,
-10,-1,-1,1,8,11,3,-1,
11,0,-6,-18,-7,-21,-2,-3,
-16,-5,2,-1,-9,26,1,-4,
5,-2,6,8,-10,11,1,-1,
-7,4,-4,10,-21,37,8,2,
-28,-1,-3,-7,5,14,0,-5,
-7,-1,0,6,31,-9,0,1,
21,2,0,-7,-11,-23,-3,1,
